benchmark,labeler,method,n_pairs,path
dblp-scholar,gpt-5.2,active_learning_ditto_closure_and_relabel,13190,paper_artifacts/training_data/dblp-scholar/gpt-5.2/active_learning_ditto_closure_and_relabel/dblp-scholar_train.json.gz
dblp-scholar,gpt-5.2,active_learning_ditto_closure_or_relabel,10085,paper_artifacts/training_data/dblp-scholar/gpt-5.2/active_learning_ditto_closure_or_relabel/dblp-scholar_train.json.gz
dblp-scholar,qwen-3.6+,active_learning_ditto,20170,paper_artifacts/training_data/dblp-scholar/qwen-3.6+/active_learning_ditto/dblp-scholar_train.json.gz
dblp-scholar,kimi-k2.6,active_learning_ditto,18682,paper_artifacts/training_data/dblp-scholar/kimi-k2.6/active_learning_ditto/dblp-scholar_train.json.gz
wdc,gpt-5.2,similarity_search,20000,paper_artifacts/training_data/wdc/gpt-5.2/similarity_search/wdc_train.json.gz
wdc,gpt-5.2,active_learning_ml,20000,paper_artifacts/training_data/wdc/gpt-5.2/active_learning_ml/wdc_train.json.gz
wdc,gpt-5.2,active_learning_ditto,19835,paper_artifacts/training_data/wdc/gpt-5.2/active_learning_ditto/wdc_train.json.gz
wdc,gpt-5.2,active_learning_ditto_relabel,10276,paper_artifacts/training_data/wdc/gpt-5.2/active_learning_ditto_relabel/wdc_train.json.gz
wdc,gpt-5.2,active_learning_ditto_relabel_drop,10022,paper_artifacts/training_data/wdc/gpt-5.2/active_learning_ditto_relabel_drop/wdc_train.json.gz
wdc,gpt-5.2,active_learning_ditto_closure_drop,9207,paper_artifacts/training_data/wdc/gpt-5.2/active_learning_ditto_closure_drop/wdc_train.json.gz
wdc,gpt-5.2,active_learning_ditto_closure_and_relabel,10092,paper_artifacts/training_data/wdc/gpt-5.2/active_learning_ditto_closure_and_relabel/wdc_train.json.gz
wdc,gpt-5.2,active_learning_ditto_closure_or_relabel,9032,paper_artifacts/training_data/wdc/gpt-5.2/active_learning_ditto_closure_or_relabel/wdc_train.json.gz
wdc,qwen-3.6+,active_learning_ditto,14053,paper_artifacts/training_data/wdc/qwen-3.6+/active_learning_ditto/wdc_train.json.gz
wdc,kimi-k2.6,active_learning_ditto,11705,paper_artifacts/training_data/wdc/kimi-k2.6/active_learning_ditto/wdc_train.json.gz
